"The dark pool icy still,",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Too youthful, too wise,",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Shed as leaves from a tree;,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Like a sea--the storm gone.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
The sky was like a waterdrop,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"In shadow of a thorn,",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"Clear, tranquil, beautiful,",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I stood a dreamer in a dream,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Only the memory of one,",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Sweet fires to burn all doubt away;,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
To mask the sharpness of its thorn;,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Like an old battle, youth is wild",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
The piercing terror cannot see.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
If with such simplicity,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Yet the woods are green and dim,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
The dark dewdrop on her gold,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Yet it seems the silence yearns,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Love is quenched; dreams drown in sleep;,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Who is it calling by the darkened river,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"And the dark trees lean unmoving arms,",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Who is it wandering in the summer meadows,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
In the dark wanderings of the deep,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Dream not till dawn unseal their sleep;,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Or but the horror of a little noise,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
When his sweet wings weary and droop,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
When the unclean earth covers me;,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Yet should i sleep--and no more dream,",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Sad would the last awakening seem,",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"My cold heart, with love once hot,",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Sick, in an alien land, for home",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Asleep, some devil in the mind",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Might truest thoughts with false enwind.,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Better than when dust stood between.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"A beauty beyond earthly content,",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
